framework,sample,login,is_author,is_contributor,number_of_created_pr,numer_of_merged_pr
googlesamples,googlesamples/web-fundamentals,addyosmani,True,False,0,0
googlesamples,googlesamples/web-fundamentals,agektmr,True,False,0,0
googlesamples,googlesamples/web-fundamentals,aliafshar,True,False,0,0
googlesamples,googlesamples/web-fundamentals,beaufortfrancois,True,False,0,0
googlesamples,googlesamples/web-fundamentals,cassierecher,True,False,0,0
googlesamples,googlesamples/web-fundamentals,ceruleanotter,True,False,0,0
googlesamples,googlesamples/web-fundamentals,claywilkinson,True,False,0,0
googlesamples,googlesamples/web-fundamentals,codingjeremy,True,False,0,0
googlesamples,googlesamples/web-fundamentals,cwilso,True,False,0,0
googlesamples,googlesamples/web-fundamentals,devnook,True,False,0,0
googlesamples,googlesamples/web-fundamentals,google-admin,True,False,0,0
googlesamples,googlesamples/web-fundamentals,google-automerger,True,False,0,0
googlesamples,googlesamples/web-fundamentals,googlebot,True,False,0,0
googlesamples,googlesamples/web-fundamentals,jabubake,True,False,0,0
googlesamples,googlesamples/web-fundamentals,jeffposnick,True,False,0,0
googlesamples,googlesamples/web-fundamentals,jfschmakeit,True,False,0,0
googlesamples,googlesamples/web-fundamentals,JoseAlcerreca,True,False,0,0
googlesamples,googlesamples/web-fundamentals,keyboardsurfer,True,False,0,0
googlesamples,googlesamples/web-fundamentals,leedenison,True,False,0,0
googlesamples,googlesamples/web-fundamentals,mathiasbynens,True,False,0,0
googlesamples,googlesamples/web-fundamentals,Meggin,True,True,0,8
googlesamples,googlesamples/web-fundamentals,PaulKinlan,True,True,0,8
googlesamples,googlesamples/web-fundamentals,petele,True,True,0,0
googlesamples,googlesamples/web-fundamentals,philipwalton,True,True,0,8
googlesamples,googlesamples/web-fundamentals,rowan-m,True,False,0,0
googlesamples,googlesamples/web-fundamentals,samdutton,True,False,8,0
googlesamples,googlesamples/web-fundamentals,samthor,True,False,0,0
googlesamples,googlesamples/web-fundamentals,slinzner,True,False,0,0
googlesamples,googlesamples/web-fundamentals,surma,True,False,0,0
googlesamples,googlesamples/web-fundamentals,tjohns,True,False,0,0
googlesamples,googlesamples/web-fundamentals,ianbarber,False,True,0,0
googlesamples,googlesamples/web-fundamentals,emma-sg,False,True,6,0
googlesamples,googlesamples/web-fundamentals,jpmedley,False,True,5,0
googlesamples,googlesamples/web-fundamentals,peterood,False,True,2,0
