framework,sample,login,is_author,is_contributor,number_of_created_pr,numer_of_merged_pr
spring-guides,spring-guides/gs-rest-service,aclement,True,False,0,0
spring-guides,spring-guides/gs-rest-service,artembilan,True,False,0,0
spring-guides,spring-guides/gs-rest-service,bclozel,True,True,22,22
spring-guides,spring-guides/gs-rest-service,benas,True,False,0,0
spring-guides,spring-guides/gs-rest-service,Buzzardo,True,True,66,88
spring-guides,spring-guides/gs-rest-service,dsyer,True,True,88,88
spring-guides,spring-guides/gs-rest-service,dturanski,True,False,0,0
spring-guides,spring-guides/gs-rest-service,dussab,True,False,0,0
spring-guides,spring-guides/gs-rest-service,fhanik,True,False,0,0
spring-guides,spring-guides/gs-rest-service,fifthposition,True,False,0,0
spring-guides,spring-guides/gs-rest-service,garyrussell,True,False,0,0
spring-guides,spring-guides/gs-rest-service,gnorsilva,True,False,0,0
spring-guides,spring-guides/gs-rest-service,gregturn,True,True,44,286
spring-guides,spring-guides/gs-rest-service,habuma,True,False,0,0
spring-guides,spring-guides/gs-rest-service,jacksoncvm,True,False,0,0
spring-guides,spring-guides/gs-rest-service,jgrandja,True,False,0,0
spring-guides,spring-guides/gs-rest-service,joshlong,True,False,0,0
spring-guides,spring-guides/gs-rest-service,jvalkeal,True,False,0,0
spring-guides,spring-guides/gs-rest-service,jxblum,True,True,0,0
spring-guides,spring-guides/gs-rest-service,jzheaux,True,False,0,0
spring-guides,spring-guides/gs-rest-service,kdvolder,True,False,22,0
spring-guides,spring-guides/gs-rest-service,kennyk65,True,False,0,0
spring-guides,spring-guides/gs-rest-service,kseebaldt,True,False,0,0
spring-guides,spring-guides/gs-rest-service,marcingrzejszczak,True,False,0,0
spring-guides,spring-guides/gs-rest-service,markfisher,True,False,0,0
spring-guides,spring-guides/gs-rest-service,markpollack,True,False,0,0
spring-guides,spring-guides/gs-rest-service,martinlippert,True,True,22,22
spring-guides,spring-guides/gs-rest-service,mminella,True,False,0,0
spring-guides,spring-guides/gs-rest-service,mp911de,True,False,0,0
spring-guides,spring-guides/gs-rest-service,mstahv,True,False,0,0
spring-guides,spring-guides/gs-rest-service,nebhale,True,False,0,0
spring-guides,spring-guides/gs-rest-service,odrotbohm,True,False,0,0
