framework,sample,contributors,authors,authors_in_contributors,%_of_author_in_contributors_in_contributors,%_of_author_in_contributors_in_authors
Azure,Azure-Samples/active-directory-node-webapi,10,110,5,50.0,4.545454545454546
Azure,Azure-Samples/active-directory-php-graphapi-directoryextensions-web,5,15,0,0.0,0.0
Azure,Azure-Samples/active-directory-dotnet-graphapi-directoryextensions-web,9,15,0,0.0,0.0
Azure,Azure-Samples/active-directory-ios,13,110,5,38.46153846153847,4.545454545454546
Azure,Azure-Samples/active-directory-android,5,110,1,20.0,0.9090909090909091
Azure,Azure-Samples/active-directory-dotnet-graphapi-web,14,110,3,21.428571428571427,2.727272727272727
Azure,Azure-Samples/active-directory-dotnet-webapp-openidconnect,12,110,4,33.33333333333333,3.6363636363636362
Azure,Azure-Samples/active-directory-dotnet-webapp-multitenant-openidconnect,12,110,4,33.33333333333333,3.6363636363636362
Azure,Azure-Samples/active-directory-dotnet-webapp-webapi-openidconnect,13,111,5,38.46153846153847,4.504504504504505
Azure,Azure-Samples/active-directory-xamarin-ios,8,110,4,50.0,3.6363636363636362
Azure,Azure-Samples/active-directory-dotnet-windows-store,8,110,3,37.5,2.727272727272727
Azure,Azure-Samples/active-directory-dotnet-native-desktop,17,110,6,35.294117647058826,5.454545454545454
Azure,Azure-Samples/active-directory-dotnet-daemon,12,110,5,41.66666666666667,4.545454545454546
Azure,Azure-Samples/active-directory-dotnet-daemon-certificate-credential,14,110,5,35.714285714285715,4.545454545454546
Azure,Azure-Samples/active-directory-dotnet-webapp-webapi-oauth2-appidentity,10,110,5,50.0,4.545454545454546
Azure,Azure-Samples/active-directory-dotnet-webapp-webapi-multitenant-openidconnect,10,110,3,30.0,2.727272727272727
Azure,Azure-Samples/active-directory-dotnet-webapi-onbehalfof,10,111,5,50.0,4.504504504504505
Azure,Azure-Samples/active-directory-dotnet-webapp-webapi-oauth2-useridentity,10,110,4,40.0,3.6363636363636362
Azure,Azure-Samples/active-directory-java-graphapi-web,7,110,3,42.857142857142854,2.727272727272727
Azure,Azure-Samples/active-directory-php-graphapi-web,5,110,2,40.0,1.8181818181818181
Azure,Azure-Samples/active-directory-dotnet-graphapi-diffquery,8,15,0,0.0,0.0
Azure,Azure-Samples/active-directory-dotnet-webapi-multitenant-windows-store,9,110,2,22.22222222222222,1.8181818181818181
Azure,Azure-Samples/active-directory-xamarin-android,9,110,4,44.44444444444444,3.6363636363636362
Azure,Azure-Samples/active-directory-dotnet-webapi-manual-jwt-validation,14,110,5,35.714285714285715,4.545454545454546
Azure,Azure-Samples/Azure-Information-Protection-Samples,11,112,4,36.36363636363637,3.571428571428571
Azure,Azure-Samples/active-directory-dotnet-webapp-wsfederation,9,111,3,33.33333333333333,2.7027027027027026
Azure,Azure-Samples/active-directory-dotnet-graphapi-console,11,15,0,0.0,0.0
Azure,Azure-Samples/active-directory-dotnet-windowsphone-8.1,5,110,1,20.0,0.9090909090909091
Azure,Azure-Samples/active-directory-dotnet-native-headless,10,110,5,50.0,4.545454545454546
Azure,Azure-Samples/active-directory-dotnet-webapp-groupclaims,14,110,4,28.57142857142857,3.6363636363636362
Azure,Azure-Samples/active-directory-dotnet-web-single-sign-out,8,111,4,50.0,3.6036036036036037
Azure,Azure-Samples/Azure-MachineLearning-DataScience,23,43,1,4.3478260869565215,2.3255813953488373
Azure,Azure-Samples/active-directory-angularjs-singlepageapp,17,111,5,29.411764705882355,4.504504504504505
Azure,Azure-Samples/active-directory-dotnet-native-multitarget,11,110,5,45.45454545454545,4.545454545454546
Azure,Azure-Samples/active-directory-dotnet-webapp-roleclaims,11,110,3,27.27272727272727,2.727272727272727
Azure,Azure-Samples/active-directory-javascript-singlepageapp-dotnet-webapi,8,110,2,25.0,1.8181818181818181
Azure,Azure-Samples/Azure-MachineLearning-ClientLibrary-Python,4,44,1,25.0,2.272727272727273
Azure,Azure-Samples/active-directory-angularjs-singlepageapp-dotnet-webapi,8,110,3,37.5,2.727272727272727
Azure,Azure-Samples/active-directory-dotnet-rms-windowsstore,6,15,0,0.0,0.0
Azure,Azure-Samples/active-directory-dotnet-webapp-openidconnect-aspnetcore,12,110,2,16.666666666666664,1.8181818181818181
