framework,sample,contributors,authors,authors_in_contributors,%_of_author_in_contributors_in_contributors,%_of_author_in_contributors_in_authors
Android,googlearchive/android-BasicTransition,2,2,4,2.0,2.0
Android,googlearchive/android-BatchStepSensor,2,2,4,2.0,2.0
Android,googlearchive/android-BeamLargeFiles,2,2,4,2.0,2.0
Android,googlearchive/android-BluetoothAdvertisements,2,2,4,2.0,2.0
Android,googlearchive/android-BluetoothChat,2,2,4,2.0,2.0
Android,googlearchive/android-BluetoothLeGatt,3,2,6,2.0,3.0
Android,googlearchive/android-BorderlessButtons,2,2,4,2.0,2.0
Android,googlearchive/android-Bubbles,3,2,6,2.0,3.0
Android,googlearchive/android-Camera2Basic,4,2,8,2.0,4.0
Android,googlearchive/android-Camera2Raw,2,2,4,2.0,2.0
Android,googlearchive/android-Camera2Video,4,2,8,2.0,4.0
Android,googlearchive/android-CardEmulation,2,2,4,2.0,2.0
Android,googlearchive/android-CardReader,2,2,4,2.0,2.0
Android,googlearchive/android-CardView,2,2,4,2.0,2.0
Android,googlearchive/android-ClippingBasic,3,2,6,2.0,3.0
Android,googlearchive/android-CommitContentSampleApp,2,2,4,2.0,2.0
Android,googlearchive/android-CommitContentSampleIME,2,2,4,2.0,2.0
Android,googlearchive/android-ConfirmCredential,3,2,6,2.0,3.0
Android,googlearchive/android-constraint-layout-performance,3,2,6,2.0,3.0
Android,googlearchive/android-ConstraintLayoutExamples,13,2,26,2.0,13.0
Android,googlearchive/android-ContentProviderPaging,2,2,4,2.0,2.0
Android,googlearchive/android-credentials,7,2,14,2.0,7.0
Android,googlearchive/android-CustomChoiceList,2,2,4,2.0,2.0
Android,googlearchive/android-CustomNotifications,2,2,4,2.0,2.0
Android,googlearchive/android-CustomTransition,2,2,4,2.0,2.0
Android,googlearchive/android-DarkTheme,3,2,6,2.0,3.0
Android,googlearchive/android-DataLayer,2,2,4,2.0,2.0
Android,googlearchive/android-DeviceOwner,2,2,4,2.0,2.0
Android,googlearchive/android-DirectBoot,3,2,6,2.0,3.0
Android,googlearchive/android-DirectShare,2,2,4,2.0,2.0
Android,googlearchive/android-DisplayingBitmaps,2,2,4,2.0,2.0
Android,googlearchive/android-DocumentCentricApps,2,2,4,2.0,2.0
Android,googlearchive/android-DocumentCentricRelinquishIdentity,2,2,4,2.0,2.0
Android,googlearchive/android-DoneBar,2,2,4,2.0,2.0
Android,googlearchive/android-DownloadableFonts,3,2,6,2.0,3.0
Android,googlearchive/android-DragAndDropAcrossApps,2,2,4,2.0,2.0
Android,googlearchive/android-DrawableTinting,2,2,4,2.0,2.0
Android,googlearchive/android-dynamic-features,6,2,12,2.0,6.0
Android,googlearchive/android-ElevationBasic,3,2,6,2.0,3.0
Android,googlearchive/android-ElevationDrag,3,2,6,2.0,3.0
Android,googlearchive/android-EmojiCompat,2,2,4,2.0,2.0
Android,googlearchive/android-fido,8,2,16,2.0,8.0
Android,googlearchive/android-FingerprintDialog,4,2,8,2.0,4.0
Android,googlearchive/android-fit,6,2,12,2.0,6.0
Android,googlearchive/android-fit-xamarin,3,2,6,2.0,3.0
Android,googlearchive/android-FloatingActionButtonBasic,2,2,4,2.0,2.0
Android,googlearchive/android-gcmnetworkmanager,2,2,4,2.0,2.0
Android,googlearchive/android-google-accounts,4,2,8,2.0,4.0
Android,googlearchive/android-HdrViewfinder,2,2,4,2.0,2.0
Android,googlearchive/android-HorizontalPaging,2,2,4,2.0,2.0
Android,googlearchive/android-ImmersiveMode,2,2,4,2.0,2.0
Android,googlearchive/android-instant-apps,8,2,16,2.0,8.0
Android,googlearchive/android-InteractiveSliceProvider,1,2,2,2.0,1.0
Android,googlearchive/android-Interpolator,2,2,4,2.0,2.0
Android,googlearchive/android-JobScheduler,3,2,6,2.0,3.0
Android,googlearchive/android-JumpingJack,2,2,4,2.0,2.0
Android,googlearchive/android-LNotifications,2,2,4,2.0,2.0
Android,googlearchive/android-MediaBrowserService,2,2,4,2.0,2.0
Android,googlearchive/android-MediaEffects,2,2,4,2.0,2.0
Android,googlearchive/android-MediaRecorder,7,2,14,2.0,7.0
Android,googlearchive/android-MediaRouter,2,2,4,2.0,2.0
Android,googlearchive/android-MessagingService,4,2,8,2.0,4.0
Android,googlearchive/android-MidiScope,2,2,4,2.0,2.0
Android,googlearchive/android-MidiSynth,2,2,4,2.0,2.0
Android,googlearchive/android-MultiWindowPlayground,2,2,4,2.0,2.0
Android,googlearchive/android-NavigationDrawer,3,2,6,2.0,3.0
Android,googlearchive/android-nearby,13,2,26,2.0,13.0
Android,googlearchive/android-nearby-cpp,6,2,12,2.0,6.0
Android,googlearchive/android-NetworkConnect,2,2,4,2.0,2.0
Android,googlearchive/android-NfcProvisioning,2,2,4,2.0,2.0
Android,googlearchive/android-NotificationChannels,2,2,4,2.0,2.0
Android,googlearchive/android-Notifications,2,2,4,2.0,2.0
Android,googlearchive/android-OurStreets,2,2,4,2.0,2.0
Android,googlearchive/android-PdfRendererBasic,2,2,4,2.0,2.0
Android,googlearchive/android-PictureInPicture,2,2,4,2.0,2.0
Android,googlearchive/android-play-awareness,2,2,4,2.0,2.0
Android,googlearchive/android-preferences,2,2,4,2.0,2.0
Android,googlearchive/android-RecyclerView,2,2,4,2.0,2.0
Android,googlearchive/android-RenderScriptIntrinsic,2,2,4,2.0,2.0
Android,googlearchive/android-RepeatingAlarm,2,2,4,2.0,2.0
Android,googlearchive/android-RevealEffectBasic,2,2,4,2.0,2.0
Android,googlearchive/android-RuntimePermissions,2,2,4,2.0,2.0
Android,googlearchive/android-RuntimePermissionsBasic,2,2,4,2.0,2.0
Android,googlearchive/android-RuntimePermissionsWear,3,2,6,2.0,3.0
Android,googlearchive/android-ScopedDirectoryAccess,3,2,6,2.0,3.0
Android,googlearchive/android-ScreenCapture,4,2,8,2.0,4.0
Android,googlearchive/android-ShareActionProvider,2,2,4,2.0,2.0
Android,googlearchive/android-SharingShortcuts,2,2,4,2.0,2.0
Android,googlearchive/android-SimpleMediaPlayer,1,2,2,2.0,1.0
Android,googlearchive/android-SliceViewer,4,2,8,2.0,4.0
Android,googlearchive/android-SlidingTabsBasic,4,2,8,2.0,4.0
Android,googlearchive/android-SlidingTabsColors,2,2,4,2.0,2.0
Android,googlearchive/android-SpeedTracker,4,2,8,2.0,4.0
Android,googlearchive/android-StorageClient,2,2,4,2.0,2.0
Android,googlearchive/android-StorageProvider,2,2,4,2.0,2.0
Android,googlearchive/android-SwipeRefreshLayoutBasic,2,2,4,2.0,2.0
Android,googlearchive/android-SwipeRefreshListFragment,2,2,4,2.0,2.0
Android,googlearchive/android-SwipeRefreshMultipleViews,2,2,4,2.0,2.0
Android,googlearchive/android-SynchronizedNotifications,2,2,4,2.0,2.0
Android,googlearchive/android-text,5,2,10,2.0,5.0
Android,googlearchive/android-TextLinkify,2,2,4,2.0,2.0
Android,googlearchive/android-TextSwitcher,2,2,4,2.0,2.0
Android,googlearchive/android-transition-examples,3,2,6,2.0,3.0
Android,googlearchive/android-ui-toolkit-demos,3,2,6,2.0,3.0
Android,googlearchive/android-VideoPlayer,2,2,4,2.0,2.0
Android,googlearchive/android-viewpager2,6,2,12,2.0,6.0
Android,googlearchive/android-WatchFace,2,2,4,2.0,2.0
Android,googlearchive/android-WclDemoSample,3,2,6,2.0,3.0
Android,googlearchive/android-wear-xamarin-watchface,4,2,8,2.0,4.0
Android,googlearchive/android-WearAccessibilityApp,2,2,4,2.0,2.0
Android,googlearchive/android-WearCompanionLibrary,5,2,10,2.0,5.0
Android,googlearchive/android-WearComplicationProvidersTestSuite,2,2,4,2.0,2.0
Android,googlearchive/android-WearDrawers,2,2,4,2.0,2.0
Android,googlearchive/android-WearHighBandwidthNetworking,2,2,4,2.0,2.0
Android,googlearchive/android-WearOAuth,1,2,2,2.0,1.0
Android,googlearchive/android-WearSpeakerSample,2,2,4,2.0,2.0
Android,googlearchive/android-WearStandaloneGoogleSignIn,1,2,2,2.0,1.0
Android,googlearchive/android-WearVerifyRemoteApp,2,2,4,2.0,2.0
Android,googlearchive/android-WifiRttScan,2,2,4,2.0,2.0
Android,googlearchive/android-XYZTouristAttractions,2,2,4,2.0,2.0
Android,googlearchive/androidtv-daydream,3,2,6,2.0,3.0
Android,googlearchive/androidtv-GameController,2,2,4,2.0,2.0
Android,googlearchive/androidtv-Leanback,21,2,42,2.0,21.0
Android,googlearchive/androidtv-VisualGameController,2,2,4,2.0,2.0
Android,googlearchive/appengine-angular-guestbook-java,4,2,8,2.0,4.0
Android,googlearchive/appengine-crowdguru-python,5,2,10,2.0,5.0
Android,googlearchive/appengine-endpoints-helloendpoints-android,3,2,6,2.0,3.0
Android,googlearchive/appengine-gofortwilio,2,2,4,2.0,2.0
Android,googlearchive/appengine-i18n-sample-python,5,2,10,2.0,5.0
Android,googlearchive/appengine-recover-unapplied-writes-python,4,2,8,2.0,4.0
Android,googlearchive/appengine-sqlite-guestbook-python,5,2,10,2.0,5.0
Android,googlearchive/appengine-try-python-webapp2,3,2,6,2.0,3.0
Android,googlearchive/apps-script-mobile-addons,2,2,4,2.0,2.0
Android,googlearchive/attendee-checkin,2,2,4,2.0,2.0
Android,googlearchive/bigquery-appengine-datastore-import-sample,2,2,4,2.0,2.0
Android,googlearchive/bigquery-samples-java,6,2,12,2.0,6.0
Android,googlearchive/bigquery-samples-python,4,2,8,2.0,4.0
Android,googlearchive/chromeos-android-draganddrop-demo,1,2,2,2.0,1.0
Android,googlearchive/chromium-webview-samples,1,2,2,2.0,1.0
Android,googlearchive/cloud-debugger-gce-java-sample,4,2,8,2.0,4.0
Android,googlearchive/cloud-pubsub-samples-java,13,2,26,2.0,13.0
Android,googlearchive/compute-getting-started-android,3,2,6,2.0,3.0
Android,googlearchive/compute-getting-started-java,5,2,10,2.0,5.0
Android,googlearchive/compute-getting-started-python,7,2,14,2.0,7.0
Android,googlearchive/core-sampler,1,2,2,2.0,1.0
Android,googlearchive/custom-tabs-provider,3,2,6,2.0,3.0
Android,googlearchive/datastore-samples,3,2,6,2.0,3.0
Android,googlearchive/dev-quest,1,2,2,2.0,1.0
Android,googlearchive/dev-video-search,1,2,2,2.0,1.0
Android,googlearchive/devtools-docs-migration,3,2,6,2.0,3.0
Android,googlearchive/digitalgoods-sample-php,2,2,4,2.0,2.0
Android,googlearchive/digitalgoods-sample-python,2,2,4,2.0,2.0
Android,googlearchive/drive-crossclientoauth2-android,1,2,2,2.0,1.0
Android,googlearchive/drive-dredit,6,2,12,2.0,6.0
Android,googlearchive/drive-ios-quickeditor,2,2,4,2.0,2.0
Android,googlearchive/firebase-chrome-extension,5,2,10,2.0,5.0
Android,googlearchive/fireflicks,4,2,8,2.0,4.0
Android,googlearchive/go-docs-samples,14,2,28,2.0,14.0
Android,googlearchive/google-api-dotnet-client-samples,12,2,24,2.0,12.0
Android,googlearchive/google-plus-hangout-samples,6,2,12,2.0,6.0
Android,googlearchive/gplus-haiku-client-android,5,2,10,2.0,5.0
Android,googlearchive/gplus-haiku-client-ios,4,2,8,2.0,4.0
Android,googlearchive/gplus-haiku-server-java,4,2,8,2.0,4.0
Android,googlearchive/gplus-haiku-server-php,5,2,10,2.0,5.0
Android,googlearchive/gplus-verifytoken-python,6,2,12,2.0,6.0
Android,googlearchive/identity-toolkit-android,6,2,12,2.0,6.0
Android,googlearchive/instantbuy-quickstart-java,3,2,6,2.0,3.0
Android,googlearchive/instantbuy-quickstart-php,2,2,4,2.0,2.0
Android,googlearchive/instantbuy-quickstart-ruby,2,2,4,2.0,2.0
Android,googlearchive/instantbuy-sample-csharp,2,2,4,2.0,2.0
Android,googlearchive/instantbuy-sample-java,5,2,10,2.0,5.0
Android,googlearchive/instantbuy-sample-php,3,2,6,2.0,3.0
Android,googlearchive/instantbuy-sample-python,2,2,4,2.0,2.0
Android,googlearchive/instantbuy-sample-xyz-java,2,2,4,2.0,2.0
Android,googlearchive/interactive-fiction-nodejs,5,2,10,2.0,5.0
Android,googlearchive/js-v2-samples,11,2,22,2.0,11.0
Android,googlearchive/kml-samples,3,2,6,2.0,3.0
Android,googlearchive/leanback-assistant,2,2,4,2.0,2.0
Android,googlearchive/leanback-homescreen-channels,3,2,6,2.0,3.0
Android,googlearchive/leanback-showcase,10,2,20,2.0,10.0
Android,googlearchive/MobileShoppingAssistant-sample,2,2,4,2.0,2.0
Android,googlearchive/picture-swiper,1,2,2,2.0,1.0
Android,googlearchive/polymer-patterns,7,2,14,2.0,7.0
Android,googlearchive/polyup,5,2,10,2.0,5.0
Android,googlearchive/sample-framework-boot,3,2,6,2.0,3.0
Android,googlearchive/sample-media-pwa,4,2,8,2.0,4.0
Android,googlearchive/sampler-scaffold,8,2,16,2.0,8.0
Android,googlearchive/samples,2,2,4,2.0,2.0
Android,googlearchive/solutions-apache-hive-and-pig-on-google-compute-engine,2,2,4,2.0,2.0
Android,googlearchive/storage-appengine-bucket-lister-python,2,2,4,2.0,2.0
Android,googlearchive/sw-unit-test-sample,0,2,0,,0.0
Android,googlearchive/udacity-60fps-samples,1,2,2,2.0,1.0
Android,googlearchive/webplatform-samples,2,2,4,2.0,2.0
