framework,sample,contributors,authors,authors_in_contributors,%_of_author_in_contributors_in_contributors,%_of_author_in_contributors_in_authors
Android,googlesamples/web-fundamentals,8,30,240,30.0,8.0
Android,googlesamples/io2014-codelabs,5,19,95,19.0,5.0
Android,googlesamples/android-play-publisher-api,6,18,108,18.0,6.0
Android,googlesamples/identity-toolkit-java,5,20,100,20.0,5.0
Android,googlesamples/identity-toolkit-ruby,5,20,100,20.0,5.0
Android,googlesamples/identity-toolkit-php,4,20,80,20.0,4.0
Android,googlesamples/identity-toolkit-ios,5,20,100,20.0,5.0
Android,googlesamples/identity-toolkit-go,7,17,119,17.0,7.0
Android,googlesamples/identity-toolkit-node,7,17,119,17.0,7.0
Android,googlesamples/androidtv-sample-inputs,10,22,220,22.0,10.0
Android,googlesamples/android-AppUsageStatistics,2,47,94,47.0,2.0
Android,googlesamples/android-PermissionRequest,1,47,47,47.0,1.0
Android,googlesamples/identity-toolkit-django,1,17,17,17.0,1.0
Android,googlesamples/android-testing-templates,5,21,105,21.0,5.0
Android,googlesamples/cloud-polymer-go,3,18,54,18.0,3.0
Android,googlesamples/dcp-parser-go,1,18,18,18.0,1.0
Android,googlesamples/android-play-games-in-motion,1,18,18,18.0,1.0
Android,googlesamples/io2015-codelabs,17,31,527,31.0,17.0
Android,googlesamples/google-services,39,32,1248,32.0,39.0
Android,googlesamples/android-testdpc,23,19,437,19.0,23.0
Android,googlesamples/android-vision,16,22,352,22.0,16.0
Android,googlesamples/ios-nearby,3,19,57,19.0,3.0
Android,googlesamples/android-custom-lint-rules,12,20,240,20.0,12.0
Android,googlesamples/easypermissions,24,16,384,16.0,24.0
Android,googlesamples/unity-jar-resolver,44,28,1232,28.0,44.0
Android,googlesamples/brillo-dragonboard-jacksmart,1,19,19,19.0,1.0
Android,googlesamples/android-vulkan-tutorials,6,23,138,23.0,6.0
Android,googlesamples/snippets,1,14,14,14.0,1.0
Android,googlesamples/onetwoseven,1,14,14,14.0,1.0
Android,googlesamples/apk-patch-size-estimator,2,17,34,17.0,2.0
Android,googlesamples/mugo,2,16,32,16.0,2.0
Android,googlesamples/vulkan-basic-samples,135,22,2970,22.0,135.0
Android,googlesamples/oauth-apps-for-windows,3,15,45,15.0,3.0
Android,googlesamples/Firebase-Plays-GCP-2016,1,15,15,15.0,1.0
Android,googlesamples/android-play-safetynet,5,17,85,17.0,5.0
Android,googlesamples/ios-vision,2,17,34,17.0,2.0
Android,googlesamples/assistant-sdk-python,15,20,300,20.0,15.0
Android,googlesamples/testloopmanager,2,17,34,17.0,2.0
Android,googlesamples/android-media-controller,12,20,240,20.0,12.0
Android,googlesamples/appauth-js-electron-sample,4,15,60,15.0,4.0
Android,googlesamples/assistant-sdk-cpp,4,15,60,15.0,4.0
Android,googlesamples/google-signin-unity,4,18,72,18.0,4.0
Android,googlesamples/android-TensorFlowCloudMachineLearningEngineStylizer,1,14,14,14.0,1.0
Android,googlesamples/assistant-sdk-nodejs,2,16,32,16.0,2.0
Android,googlesamples/google-photos,2,14,28,14.0,2.0
Android,googlesamples/arcore-illusive-images,2,15,30,15.0,2.0
Android,googlesamples/arcore-lightboard,2,16,32,16.0,2.0
Android,googlesamples/sceneform-samples,1,21,21,21.0,1.0
Android,googlesamples/sceneform-poly-browser,1,14,14,14.0,1.0
Android,googlesamples/pluscode-swift-demo,1,15,15,15.0,1.0
Android,googlesamples/io19-sonic-boom,1,16,16,16.0,1.0
Android,googlesamples/android-dynamic-code-loading,1,45,45,45.0,1.0
Android,googlesamples/functions-as-a-service,1,14,14,14.0,1.0
Android,googlesamples/maps-deckgl-scatterplot-example,1,14,14,14.0,1.0
Android,googlesamples/identity-appflip-tester-ios,3,16,48,16.0,3.0
Android,googlesamples/identity-appflip-tester-android,3,46,138,46.0,3.0
Android,googlesamples/identity-appflip-android,3,46,138,46.0,3.0
Android,googlesamples/identity-appflip-ios,3,16,48,16.0,3.0
Android,googlesamples/glass-enterprise-samples,6,18,108,18.0,6.0
Android,googlesamples/mlkit,9,26,234,26.0,9.0
Android,googlesamples/arcore-depth-lab,2,18,36,18.0,2.0
Android,googlesamples/task-interop,2,16,32,16.0,2.0
Android,googlesamples/gboard-dev-samples,1,15,15,15.0,1.0
Android,googlesamples/arcore-ml-sample,1,15,15,15.0,1.0
Android,googlearchive/actionssdk-eliza-nodejs,8,2,16,2.0,8.0
Android,googlearchive/android-AccelerometerPlay,2,2,4,2.0,2.0
Android,googlearchive/android-ActionBarCompat-Basic,2,2,4,2.0,2.0
Android,googlearchive/android-ActionBarCompat-ListPopupMenu,2,2,4,2.0,2.0
Android,googlearchive/android-ActionBarCompat-ShareActionProvider,2,2,4,2.0,2.0
Android,googlearchive/android-ActionBarCompat-Styled,2,2,4,2.0,2.0
Android,googlearchive/android-ActiveNotifications,2,2,4,2.0,2.0
Android,googlearchive/android-ActivityInstrumentation,2,2,4,2.0,2.0
Android,googlearchive/android-ActivitySceneTransitionBasic,2,2,4,2.0,2.0
Android,googlearchive/android-ads,7,2,14,2.0,7.0
Android,googlearchive/android-AdvancedImmersiveMode,2,2,4,2.0,2.0
Android,googlearchive/android-AlwaysOn,2,2,4,2.0,2.0
Android,googlearchive/android-AppRestrictionEnforcer,2,2,4,2.0,2.0
Android,googlearchive/android-AppRestrictions,2,2,4,2.0,2.0
Android,googlearchive/android-AppRestrictionSchema,2,2,4,2.0,2.0
Android,googlearchive/android-AppShortcuts,2,2,4,2.0,2.0
Android,googlearchive/android-AsymmetricFingerprintDialog,3,2,6,2.0,3.0
Android,googlearchive/android-AutoBackupForApps,2,2,4,2.0,2.0
Android,googlearchive/android-AutofillFramework,2,2,4,2.0,2.0
Android,googlearchive/android-BasicAndroidKeyStore,2,2,4,2.0,2.0
Android,googlearchive/android-BasicContactables,2,2,4,2.0,2.0
Android,googlearchive/android-BasicGestureDetect,2,2,4,2.0,2.0
Android,googlearchive/android-BasicImmersiveMode,2,2,4,2.0,2.0
Android,googlearchive/android-BasicManagedProfile,3,2,6,2.0,3.0
Android,googlearchive/android-BasicMediaDecoder,3,2,6,2.0,3.0
Android,googlearchive/android-BasicMediaRouter,2,2,4,2.0,2.0
Android,googlearchive/android-BasicMultitouch,2,2,4,2.0,2.0
Android,googlearchive/android-BasicNetworking,2,2,4,2.0,2.0
Android,googlearchive/android-BasicNotifications,2,2,4,2.0,2.0
Android,googlearchive/android-BasicRenderScript,2,2,4,2.0,2.0
Android,googlearchive/android-BasicSyncAdapter,4,2,8,2.0,4.0
