framework,sample,contributors,authors,authors_in_contributors,%_of_author_in_contributors_in_contributors,%_of_author_in_contributors_in_authors
AWS,aws-samples/java-meme-generator-sample,3,12,1,33.33333333333333,8.333333333333332
AWS,aws-samples/opsworks-example-cookbooks,7,11,2,28.57142857142857,18.181818181818183
AWS,aws-samples/opsworks-demo-php-simple-app,2,11,1,50.0,9.090909090909092
AWS,aws-samples/opsworks-demo-php-photo-share-app,4,11,2,50.0,18.181818181818183
AWS,aws-samples/aws-dynamodb-examples,8,13,1,12.5,7.6923076923076925
AWS,aws-samples/aws-mobile-sample-wif,2,26,1,50.0,3.8461538461538463
AWS,aws-samples/eb-python-flask,4,16,0,0.0,0.0
AWS,aws-samples/eb-node-express,4,16,1,25.0,6.25
AWS,aws-samples/aws-ruby-sample,2,12,1,50.0,8.333333333333332
AWS,aws-samples/aws-java-sample,4,12,1,25.0,8.333333333333332
AWS,aws-samples/aws-php-sample,5,12,1,20.0,8.333333333333332
AWS,aws-samples/aws-nodejs-sample,1,12,1,100.0,8.333333333333332
AWS,aws-samples/aws-python-sample,4,12,2,50.0,16.666666666666664
AWS,aws-samples/emr-bootstrap-actions,28,13,2,7.142857142857142,15.384615384615385
AWS,aws-samples/aws-cfn-custom-resource-examples,2,7,0,0.0,0.0
AWS,aws-samples/eb-py-flask-signup,7,17,2,28.57142857142857,11.76470588235294
AWS,aws-samples/aws-auto-scaling-console-sample,3,8,1,33.33333333333333,12.5
AWS,aws-samples/reinvent2013-js-blog-demo,2,12,1,50.0,8.333333333333332
AWS,aws-samples/opsworks-demo-rails-photo-share-app,4,11,2,50.0,18.181818181818183
AWS,aws-samples/reinvent2013-mobile-photo-share,4,26,1,25.0,3.8461538461538463
AWS,aws-samples/eb-py-flask-signup-worker,4,17,1,25.0,5.88235294117647
AWS,aws-samples/kinesis-poster-worker,5,79,0,0.0,0.0
AWS,aws-samples/eb-node-express-signup,4,17,1,25.0,5.88235294117647
AWS,aws-samples/eb-demo-php-simple-app,2,16,1,50.0,6.25
AWS,aws-samples/aws-flow-ruby-samples,11,9,1,9.090909090909092,11.11111111111111
AWS,aws-samples/opsworks-elasticsearch-cookbook,2,11,1,50.0,9.090909090909092
AWS,aws-samples/opsworks-attribute-customization,2,11,1,50.0,9.090909090909092
AWS,aws-samples/mqtt-kinesis-bridge,4,80,1,25.0,1.25
AWS,aws-samples/eb-wif-sample,3,16,0,0.0,0.0
AWS,aws-samples/opsworks-cloudwatch-logs-cookbooks,2,11,1,50.0,9.090909090909092
AWS,aws-samples/aws-flow-ruby-opsworks-helloworld,4,9,1,25.0,11.11111111111111
AWS,aws-samples/todo-sample-app-cookbooks,2,12,2,100.0,16.666666666666664
AWS,aws-samples/aws-mobile-self-paced-labs-samples,3,26,1,33.33333333333333,3.8461538461538463
AWS,aws-samples/reinvent2014-scalable-site-management,5,12,1,20.0,8.333333333333332
AWS,aws-samples/aws-sdk-js-sample-video-transcoder,2,12,1,50.0,8.333333333333332
AWS,aws-samples/aws-codedeploy-samples,32,17,1,3.125,5.88235294117647
AWS,aws-samples/aws-sdk-unity-samples,10,26,1,10.0,3.8461538461538463
AWS,aws-samples/amazon-cognito-developer-authentication-sample,2,26,1,50.0,3.8461538461538463
AWS,aws-samples/aws-arch-backoff-simulator,2,7,1,50.0,14.285714285714285
AWS,aws-samples/py-flask-signup-docker,3,8,2,66.66666666666666,25.0
AWS,aws-samples/ecs-demo-php-simple-app,4,29,1,25.0,3.4482758620689653
AWS,aws-samples/eb-docker-virtual-hosting,1,16,0,0.0,0.0
AWS,aws-samples/eb-docker-nginx-proxy,1,16,0,0.0,0.0
AWS,aws-samples/eb-docker-multiple-ports,3,16,1,33.33333333333333,6.25
AWS,aws-samples/machine-learning-samples,16,8,2,12.5,25.0
AWS,aws-samples/amazon-kinesis-learning,4,9,2,50.0,22.22222222222222
AWS,aws-samples/create-thumbnails-lambda,2,8,1,50.0,12.5
AWS,aws-samples/aws-demo-php-simple-app,2,7,1,50.0,14.285714285714285
AWS,aws-samples/AWSCodePipeline-S3-AWSCodeDeploy_Windows,2,13,1,50.0,7.6923076923076925
AWS,aws-samples/aws-codepipeline-s3-codedeploy-linux,2,13,1,50.0,7.6923076923076925
AWS,aws-samples/eb-node-express-sample,3,16,0,0.0,0.0
AWS,aws-samples/lambda-ecs-worker-pattern,4,10,2,50.0,20.0
AWS,aws-samples/aws-device-farm-sample-app-for-android,8,26,2,25.0,7.6923076923076925
AWS,aws-samples/aws-device-farm-sample-app-for-ios,6,26,2,33.33333333333333,7.6923076923076925
AWS,aws-samples/aws-device-farm-appium-tests-for-sample-app,10,26,2,20.0,7.6923076923076925
AWS,aws-samples/aws-device-farm-calabash-tests-for-sample-app,9,26,2,22.22222222222222,7.6923076923076925
AWS,aws-samples/api-gateway-secure-pet-store,5,7,1,20.0,14.285714285714285
AWS,aws-samples/amazon-elasticsearch-lambda-samples,4,9,1,25.0,11.11111111111111
AWS,aws-samples/amazon-redshift-udfs,6,16,2,33.33333333333333,12.5
AWS,aws-samples/opsworks-windows-demo-nodejs,4,11,2,50.0,18.181818181818183
AWS,aws-samples/lambda-refarch-fileprocessing,11,94,3,27.27272727272727,3.1914893617021276
AWS,aws-samples/lambda-refarch-iotbackend,9,37,3,33.33333333333333,8.108108108108109
AWS,aws-samples/lambda-refarch-mobilebackend,7,37,3,42.857142857142854,8.108108108108109
AWS,aws-samples/reinvent2015-dev309,2,12,2,100.0,16.666666666666664
AWS,aws-samples/lambda-refarch-webapp,13,117,4,30.76923076923077,3.418803418803419
AWS,aws-samples/lambda-refarch-streamprocessing,6,37,3,50.0,8.108108108108109
AWS,aws-samples/aws-go-wordfreq-sample,3,12,1,33.33333333333333,8.333333333333332
AWS,aws-samples/aws-cfn-windows-hpc-template,4,10,3,75.0,30.0
AWS,aws-samples/aws-cloudfront-samples,13,11,2,15.384615384615385,18.181818181818183
AWS,aws-samples/opsworks-linux-demo-cookbook-nodejs,5,11,2,40.0,18.181818181818183
AWS,aws-samples/awscli-reinvent-examples,4,12,3,75.0,25.0
AWS,aws-samples/simplerobotservice,3,79,1,33.33333333333333,1.2658227848101267
AWS,aws-samples/aws-cfn-go-template,2,13,2,100.0,15.384615384615385
AWS,aws-samples/aws-saml-adfs-cmdlet-sample,3,10,1,33.33333333333333,10.0
AWS,aws-samples/lambda-apigateway-twilio-tutorial,4,79,1,25.0,1.2658227848101267
AWS,aws-samples/aws-codedeploy-sample-tomcat,9,17,1,11.11111111111111,5.88235294117647
AWS,aws-samples/eb-locustio-sample,4,16,1,25.0,6.25
AWS,aws-samples/aws-device-farm-sample-web-app-using-appium,2,26,2,100.0,7.6923076923076925
AWS,aws-samples/aws-iot-examples,7,8,2,28.57142857142857,25.0
AWS,aws-samples/eb-tomcat-snakes,2,17,2,100.0,11.76470588235294
AWS,aws-samples/aws-device-farm-sample-web-app-using-appium-python,2,26,2,100.0,7.6923076923076925
AWS,aws-samples/apn-blog,9,13,2,22.22222222222222,15.384615384615385
AWS,aws-samples/aws-lambda-ddns-function,9,79,2,22.22222222222222,2.5316455696202533
AWS,aws-samples/aws-lambda-zombie-workshop,4,79,2,50.0,2.5316455696202533
