sample,tempo para fechamento,tempo merge,merge user seguidores,merge user tempo no GitHub,closed_count,open_count,merged_count,not_merged_count
aws-samples/.github,,,,,0.0,1.0,0.0,0.0
aws-samples/1click-hpc,,,,,0.0,1.0,0.0,0.0
aws-samples/accelerated-data-lake,61.25,61.25,3.0,271.25,4.0,1.0,4.0,4.0
aws-samples/account-factory,0.0,,,,1.0,0.0,0.0,0.0
aws-samples/acmpca-hierarchy-build,0.0,0.0,0.0,491.0,1.0,0.0,1.0,1.0
aws-samples/activite,2.4,2.4,12.0,3218.2,5.0,2.0,5.0,5.0
aws-samples/ai-services-workshop,34.333333333333336,34.333333333333336,161.83333333333334,2476.1666666666665,6.0,0.0,6.0,6.0
aws-samples/airflow-for-amazon-eks-blog,0.0,,,,1.0,0.0,0.0,0.0
aws-samples/alexa-brazil-hackathon-content,0.0,0.0,9.0,1085.5,2.0,0.0,2.0,2.0
aws-samples/alexa-skill-authentication,,,,,0.0,2.0,0.0,0.0
aws-samples/alexa-skill-with-sap-data-and-scp,18.333333333333332,0.0,15.0,2547.0,3.0,0.0,2.0,2.0
aws-samples/alexa-top-sites-api-samples,13.2,13.2,0.0,144.4,5.0,2.0,5.0,5.0
aws-samples/alexa-web-information-service-api-samples,0.2,0.2,0.0,78.0,5.0,2.0,5.0,5.0
aws-samples/algorithmic-trading,1.2857142857142858,0.16666666666666666,4.0,350.8333333333333,7.0,0.0,6.0,6.0
aws-samples/amazon-a2i-sample-jupyter-notebooks,2.128205128205128,1.5555555555555556,39.80555555555556,2270.8333333333335,39.0,1.0,36.0,36.0
aws-samples/amazon-a2i-sample-task-uis,21.0,21.0,19.666666666666668,1943.3333333333333,3.0,1.0,3.0,3.0
aws-samples/amazon-ai-building-better-bots,24.875,24.875,2.25,2619.25,8.0,0.0,8.0,8.0
aws-samples/amazon-api-gateway-mutating-webhook-for-k8,0.0,0.0,15.0,2268.0,2.0,0.0,1.0,1.0
aws-samples/amazon-api-gateway-url-shortener,9.052631578947368,6.823529411764706,155.0,3266.705882352941,19.0,0.0,17.0,17.0
aws-samples/amazon-apigateway-amazon-s3-upload,0.0,0.0,0.0,740.0,1.0,0.0,1.0,1.0
aws-samples/amazon-apigateway-ingress-controller-blog,,,,,0.0,1.0,0.0,0.0
aws-samples/amazon-appflow,,,,,0.0,1.0,0.0,0.0
aws-samples/amazon-athena-serverless-ehms-connector,68.0,68.0,2.0,536.2857142857143,7.0,0.0,7.0,7.0
aws-samples/amazon-athena-train-amazon-sagemaker,59.666666666666664,,,,3.0,0.0,0.0,0.0
aws-samples/amazon-aurora-call-to-amazon-sagemaker-sample,0.0,0.0,19.0,2065.0,1.0,0.0,1.0,1.0
aws-samples/amazon-aurora-labs-for-mysql,4.451612903225806,4.666666666666667,1.9047619047619047,1543.7619047619048,31.0,0.0,21.0,21.0
aws-samples/amazon-aurora-mysql-with-mariadb-jdbc-driver,47.0,94.0,0.0,464.0,2.0,0.0,1.0,1.0
aws-samples/amazon-aurora-pgpool-example,1.0,1.0,0.0,1172.0,1.0,0.0,1.0,1.0
aws-samples/amazon-aurora-proxysql-example,2.6666666666666665,2.6666666666666665,73.0,3338.3333333333335,3.0,0.0,3.0,3.0
aws-samples/amazon-automated-forecast,,,,,0.0,1.0,0.0,0.0
aws-samples/amazon-chime-live-events,1.75,1.826086956521739,17.304347826086957,1678.0434782608695,24.0,4.0,23.0,23.0
aws-samples/amazon-chime-meeting-broadcast-demo,0.5,0.5,44.5,3969.5,4.0,0.0,4.0,4.0
aws-samples/amazon-chime-private-bot-demo,0.0,0.0,0.0,701.0,1.0,2.0,1.0,1.0
aws-samples/amazon-chime-proxy-sessions-demo,1.0,1.0,1.0,917.0,1.0,1.0,1.0,1.0
aws-samples/amazon-chime-react-native-demo,13.333333333333334,3.4,1.0666666666666667,496.3333333333333,21.0,0.0,15.0,15.0
aws-samples/amazon-chime-sdk,1.0,1.0714285714285714,3.5,723.4285714285714,15.0,2.0,14.0,14.0
aws-samples/amazon-chime-sdk-amazon-connect-integration-demo,0.0,0.0,2.0,514.0,1.0,0.0,1.0,1.0
aws-samples/amazon-chime-sdk-aws-appsync-sample,6.090909090909091,0.0,0.0,84.14285714285714,22.0,0.0,14.0,14.0
aws-samples/amazon-chime-sdk-classroom-demo,7.608695652173913,6.575,5.125,978.675,46.0,0.0,40.0,40.0
