sample,tempo para fechamento,tempo merge,merge user seguidores,merge user tempo no GitHub,closed_count,open_count,merged_count,not_merged_count,framework,relative_open_count,relative_closed_count,relative_merged,relative_not_merged
Azure-Samples/AI-Gallery,1.75,1.75,4.0,751.0833333333334,12.0,1.0,12.0,0.0,Azure,7.6923076923076925,92.3076923076923,100.0,0.0
Azure-Samples/AI-Gallery-InceptionV3,0.0,0.0,1.0,402.0,5.0,0.0,5.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/AI-Gallery-TinyYolo,0.0,0.0,1.0,402.0,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/AI-Video-Intelligence-Solution-Accelerator,158.0,0.0,12.0,3274.5,5.0,7.0,2.0,3.0,Azure,58.333333333333336,41.66666666666667,40.0,60.0
Azure-Samples/AIDeveloperResources,0.0,0.0,945.0,2917.6,5.0,0.0,5.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/AML-Gallery-InceptionV3,,,,,0.0,2.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/AOAATest0205,0.0,0.0,0.0,1965.0,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Active-Directory-and-Active-Directory-B2C-Community-Samples,,,,,0.0,3.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/ActiveDirectory-B2C-MSGraph-PolicyAndKeysets,6.636363636363637,6.636363636363637,2.5454545454545454,1703.090909090909,11.0,0.0,11.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/AnomalyDetector,0.7272727272727273,0.8,102.5,1656.95,22.0,6.0,20.0,2.0,Azure,21.428571428571427,78.57142857142857,90.9090909090909,9.090909090909092
Azure-Samples/Azure-AD-B2C-page-templates,0.0,0.0,2.0,2605.3333333333335,3.0,2.0,3.0,0.0,Azure,40.0,60.0,100.0,0.0
Azure-Samples/Azure-Functions-Docker-and-Terraform,0.0,0.0,1.0,1129.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Azure-Functions-IoT-TimeSeries-Analytics,1.3333333333333333,1.6,9.6,1106.4,6.0,2.0,5.0,1.0,Azure,25.0,75.0,83.33333333333334,16.666666666666664
Azure-Samples/Azure-Functions-Private-Endpoints,8.5,8.5,21.0,3263.5,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Azure-Information-Protection-Samples,26.64,20.608695652173914,5.608695652173913,204.7826086956522,25.0,0.0,23.0,2.0,Azure,0.0,100.0,92.0,8.0
Azure-Samples/Azure-IoT-Samples-Xamarin,0.0,0.0,66.0,3361.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Azure-MachineLearning-ClientLibrary-Python,38.642857142857146,41.61538461538461,51.15384615384615,1780.7692307692307,14.0,3.0,13.0,1.0,Azure,17.647058823529413,82.35294117647058,92.85714285714286,7.142857142857142
Azure-Samples/Azure-MachineLearning-CustomModuleDefinition-App,0.0,0.0,8.0,1319.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Azure-MachineLearning-DataScience,13.727272727272727,16.59259259259259,20.333333333333332,834.8148148148148,33.0,11.0,27.0,6.0,Azure,25.0,75.0,81.81818181818183,18.181818181818183
Azure-Samples/Azure-Maps-AzureAD-Samples,15.142857142857142,15.142857142857142,1.0,3385.5714285714284,7.0,0.0,7.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Azure-Maps-Jupyter-Notebook,,,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/Azure-RTOS-on-Azure-Sphere-Mediatek-MT3620,15.25,15.25,17.0,1654.0,4.0,0.0,4.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Azure-Spring-Cloud-Samples,5.825,7.193548387096774,28.967741935483872,2630.935483870968,40.0,5.0,31.0,9.0,Azure,11.11111111111111,88.88888888888889,77.5,22.5
Azure-Samples/Azure-Stack-Hub-Foundation-Core,1.0,1.25,4.0,1878.25,5.0,2.0,4.0,1.0,Azure,28.57142857142857,71.42857142857143,80.0,20.0
Azure-Samples/Azure-Time-Series-Insights,16.916666666666668,18.0,43.45454545454545,2561.909090909091,12.0,3.0,11.0,1.0,Azure,20.0,80.0,91.66666666666666,8.333333333333332
Azure-Samples/AzureDevOps-onnxruntime-jetson,2.25,2.25,7.0,1895.75,4.0,1.0,4.0,0.0,Azure,20.0,80.0,100.0,0.0
Azure-Samples/AzureMapsCodeSamples,3.3529411764705883,3.8181818181818183,42.0,2125.181818181818,17.0,0.0,11.0,6.0,Azure,0.0,100.0,64.70588235294117,35.294117647058826
Azure-Samples/AzureSpeechReactSample,0.0,0.0,7.0,1816.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/AzureSqlGettingStartedSamples,0.0,0.0,97.5,2978.0,2.0,1.0,2.0,0.0,Azure,33.33333333333333,66.66666666666666,100.0,0.0
Azure-Samples/AzureStack-AdminPowerShell-OMSIntegration,69.3,73.0,2.0,873.1111111111111,10.0,1.0,9.0,1.0,Azure,9.090909090909092,90.9090909090909,90.0,10.0
Azure-Samples/AzureStorageSnippets,0.1702127659574468,0.1702127659574468,27.51063829787234,2116.659574468085,141.0,4.0,141.0,0.0,Azure,2.7586206896551726,97.24137931034483,100.0,0.0
Azure-Samples/AzureSubscriptionBuilder,0.2727272727272727,0.3333333333333333,1.6666666666666667,537.8888888888889,11.0,1.0,9.0,2.0,Azure,8.333333333333332,91.66666666666666,81.81818181818183,18.181818181818183
Azure-Samples/Blockchain-Ethereum-Template,0.11764705882352941,0.11764705882352941,22.58823529411765,2033.5882352941176,17.0,0.0,17.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Cognitive-Face-CSharp-sample,171.0,6.5,20.0,1501.5,3.0,2.0,2.0,1.0,Azure,40.0,60.0,66.66666666666666,33.33333333333333
Azure-Samples/Cognitive-Services-LUIS-Console-Application,176.0,,,,1.0,1.0,0.0,1.0,Azure,50.0,50.0,0.0,100.0
Azure-Samples/Cognitive-Services-LUIS-Programmatic-Console,176.0,,,,1.0,1.0,0.0,1.0,Azure,50.0,50.0,0.0,100.0
Azure-Samples/Cognitive-Services-Speech-Devices-SDK,0.75,0.782608695652174,0.5652173913043478,513.304347826087,24.0,0.0,23.0,1.0,Azure,0.0,100.0,95.83333333333334,4.166666666666666
Azure-Samples/Cognitive-Services-Vision-Solution-Templates,57.78125,18.32,15.0,1512.8,32.0,22.0,25.0,7.0,Azure,40.74074074074074,59.25925925925925,78.125,21.875
Azure-Samples/Cognitive-Services-Voice-Assistant,1.4754098360655739,1.080701754385965,2.094736842105263,814.2666666666667,305.0,3.0,285.0,20.0,Azure,0.974025974025974,99.02597402597402,93.44262295081968,6.557377049180328
Azure-Samples/Cognitive-Speech-STT-Android,92.66666666666667,0.0,11.0,764.5,3.0,2.0,2.0,1.0,Azure,40.0,60.0,66.66666666666666,33.33333333333333
Azure-Samples/Cognitive-Speech-STT-ServiceLibrary,2.0,4.0,7.0,1089.0,2.0,0.0,1.0,1.0,Azure,0.0,100.0,50.0,50.0
Azure-Samples/Cognitive-Speech-STT-Windows,102.75,1.3333333333333333,9.0,1301.0,8.0,2.0,3.0,5.0,Azure,20.0,80.0,37.5,62.5
Azure-Samples/Cognitive-Speech-STT-iOS,3.6666666666666665,3.6666666666666665,9.666666666666666,875.0,3.0,2.0,3.0,0.0,Azure,40.0,60.0,100.0,0.0
Azure-Samples/Cognitive-Speech-TTS,22.146341463414632,5.276190476190476,47.2,1657.4857142857143,123.0,0.0,105.0,18.0,Azure,0.0,100.0,85.36585365853658,14.634146341463413
Azure-Samples/ContosoInsurance,0.0,0.0,181.0,2269.0,3.0,0.0,3.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/CosmicClone,,,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/CosmosDB-Flask-Mongo-Sample,0.0,0.0,3.0,1101.0,1.0,1.0,1.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/Cost-Management-Samples,1.0,1.0,2.0,338.0,1.0,4.0,1.0,0.0,Azure,80.0,20.0,100.0,0.0
Azure-Samples/Custom-Vision-ONNX-UWP,0.0,0.0,28.0,2664.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Custom-vision-service-iot-edge-raspberry-pi,15.391304347826088,18.88888888888889,20.833333333333332,575.3333333333334,23.0,2.0,18.0,5.0,Azure,8.0,92.0,78.26086956521739,21.73913043478261
Azure-Samples/DoubleKeyEncryptionService,5.7272727272727275,7.0,0.0,460.3333333333333,22.0,4.0,18.0,4.0,Azure,15.384615384615385,84.61538461538461,81.81818181818183,18.181818181818183
Azure-Samples/DynamicsConnector,,,,,0.0,2.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/ESP-Samples,12.6,2.75,12.0,2248.75,5.0,0.0,4.0,1.0,Azure,0.0,100.0,80.0,20.0
Azure-Samples/Governance,0.0,0.0,111.0,1646.0,2.0,2.0,2.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/HWC-Cluster-Creator-Tool,11.0,11.0,0.0,144.0,1.0,1.0,1.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/Hybrid-Compute-Go-Create-VM,76.0,0.0,0.0,333.0,2.0,1.0,1.0,1.0,Azure,33.33333333333333,66.66666666666666,50.0,50.0
Azure-Samples/Hybrid-Compute-Go-ManagedDisks,0.0,0.0,0.0,536.0,1.0,1.0,1.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/Hybrid-Compute-Java-Create-VM-From-Custom-Image,0.0,0.0,4.0,837.0,1.0,1.0,1.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/Hybrid-Compute-Java-Manage-VM-Certificate-Based-Auth,3.5,7.0,4.0,810.0,2.0,1.0,1.0,1.0,Azure,33.33333333333333,66.66666666666666,50.0,50.0
Azure-Samples/Hybrid-Compute-Python-Manage-VM,328.0,11.0,4.0,810.0,2.0,1.0,1.0,1.0,Azure,33.33333333333333,66.66666666666666,50.0,50.0
Azure-Samples/Hybrid-Compute-Python-Manage-VM-UnManaged-Disk-Cert-Based-Auth,645.0,,,,1.0,0.0,0.0,1.0,Azure,0.0,100.0,0.0,100.0
Azure-Samples/Hybrid-KeyVault-Java-Manage-Secrets-Certificate-Based-Auth,13.5,13.5,103.0,1915.5,2.0,1.0,2.0,0.0,Azure,33.33333333333333,66.66666666666666,100.0,0.0
Azure-Samples/Hybrid-KeyVault-Python-Deploy-Certificates-To-VM,645.0,,,,1.0,0.0,0.0,1.0,Azure,0.0,100.0,0.0,100.0
Azure-Samples/Hybrid-KeyVault-Python-Manage-Secrets,323.5,2.0,4.0,875.0,2.0,0.0,1.0,1.0,Azure,0.0,100.0,50.0,50.0
Azure-Samples/Hybrid-KeyVault-Python-Manage-Secrets-Cert-Based-Service-Principal,645.0,,,,1.0,0.0,0.0,1.0,Azure,0.0,100.0,0.0,100.0
Azure-Samples/Hybrid-Resource-Manager-Python-Template-Deployment,645.0,,,,1.0,0.0,0.0,1.0,Azure,0.0,100.0,0.0,100.0
Azure-Samples/Hybrid-ResourceManager-Python-Manage-Resources,322.5,0.0,4.0,844.0,2.0,1.0,1.0,1.0,Azure,33.33333333333333,66.66666666666666,50.0,50.0
Azure-Samples/Hybrid-Storage-Go-Dataplane,76.5,0.0,0.0,454.0,2.0,1.0,1.0,1.0,Azure,33.33333333333333,66.66666666666666,50.0,50.0
Azure-Samples/Hybrid-Storage-Python-Manage-Storage-Account,322.5,0.0,4.0,845.0,2.0,1.0,1.0,1.0,Azure,33.33333333333333,66.66666666666666,50.0,50.0
Azure-Samples/Hybrid-compute-nodejs-create-vm,100.33333333333333,0.0,3.0,2094.0,3.0,1.0,1.0,2.0,Azure,25.0,75.0,33.33333333333333,66.66666666666666
Azure-Samples/Hybrid-resourcegroups-nodejs-manageresources,61.0,0.0,3.0,2094.0,2.0,1.0,1.0,1.0,Azure,33.33333333333333,66.66666666666666,50.0,50.0
Azure-Samples/Hybrid-resources-java-manage-resource-group,22.666666666666668,22.666666666666668,2.6666666666666665,779.3333333333334,3.0,1.0,3.0,0.0,Azure,25.0,75.0,100.0,0.0
Azure-Samples/IoTDemos,88.84210526315789,24.153846153846153,1.6923076923076923,2068.0,19.0,42.0,13.0,6.0,Azure,68.85245901639344,31.147540983606557,68.42105263157895,31.57894736842105
Azure-Samples/IoTEdgeAndMlSample,1.4230769230769231,1.4230769230769231,12.76923076923077,2174.173076923077,52.0,0.0,52.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/IoTMQTTSample,10.5,10.5,12.0,2581.0,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Iot-Telemetry-Simulator,4.933333333333334,1.7692307692307692,24.846153846153847,3477.153846153846,15.0,0.0,13.0,2.0,Azure,0.0,100.0,86.66666666666667,13.333333333333334
Azure-Samples/Java-application-petstore-ee7,,,,,0.0,2.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/KeyVault-Rotation-SQLPassword-Csharp,,,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/LUIS-DevOps-Template,1.3714285714285714,1.5483870967741935,64.93548387096774,2132.483870967742,35.0,0.0,31.0,4.0,Azure,0.0,100.0,88.57142857142857,11.428571428571429
Azure-Samples/LiveMaps,40.42857142857143,40.42857142857143,1.0,1554.0,7.0,7.0,7.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/MLOpsDatabricks,2.727272727272727,2.8823529411764706,80.23529411764706,2444.0,22.0,0.0,17.0,5.0,Azure,0.0,100.0,77.27272727272727,22.727272727272727
Azure-Samples/Machine-Learning-Operationalization,4.225806451612903,3.925925925925926,9.555555555555555,1526.962962962963,31.0,4.0,27.0,4.0,Azure,11.428571428571429,88.57142857142857,87.09677419354838,12.903225806451612
Azure-Samples/MachineLearning-MusicGeneration,0.0,0.0,19.0,1661.0,3.0,0.0,3.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/MachineLearningSamples-AerialImageClassification,3.142857142857143,0.0,12.4,896.2,7.0,0.0,5.0,2.0,Azure,0.0,100.0,71.42857142857143,28.57142857142857
Azure-Samples/MachineLearningSamples-BigData,4.4,0.14285714285714285,9.0,609.1428571428571,10.0,0.0,7.0,3.0,Azure,0.0,100.0,70.0,30.0
Azure-Samples/MachineLearningSamples-BikeShare,,,,,0.0,2.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/MachineLearningSamples-BiomedicalEntityExtraction,15.454545454545455,15.454545454545455,7.7272727272727275,787.8181818181819,11.0,5.0,11.0,0.0,Azure,31.25,68.75,100.0,0.0
Azure-Samples/MachineLearningSamples-ChurnPrediction,0.8888888888888888,1.0,17.4375,853.8125,18.0,4.0,16.0,2.0,Azure,18.181818181818183,81.81818181818183,88.88888888888889,11.11111111111111
Azure-Samples/MachineLearningSamples-DeepLearningforPredictiveMaintenance,5.083333333333333,0.1111111111111111,47.333333333333336,2174.3333333333335,12.0,0.0,9.0,3.0,Azure,0.0,100.0,75.0,25.0
Azure-Samples/MachineLearningSamples-DistributedHyperParameterTuning,4.0,5.0,11.8,1040.2,8.0,1.0,5.0,3.0,Azure,11.11111111111111,88.88888888888889,62.5,37.5
Azure-Samples/MachineLearningSamples-DocumentCollectionAnalysis,3.0,0.0,8.0,854.75,7.0,0.0,4.0,3.0,Azure,0.0,100.0,57.14285714285714,42.857142857142854
Azure-Samples/MachineLearningSamples-EnergyDemandTimeSeriesForecasting,0.2857142857142857,0.16666666666666666,13.166666666666666,945.1666666666666,7.0,0.0,6.0,1.0,Azure,0.0,100.0,85.71428571428571,14.285714285714285
Azure-Samples/MachineLearningSamples-ImageClassificationUsingCntk,0.0,0.0,8.0,1319.0,1.0,1.0,1.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/MachineLearningSamples-Iris,180.33333333333334,1.5,30.0,1573.5,3.0,1.0,2.0,1.0,Azure,25.0,75.0,66.66666666666666,33.33333333333333
Azure-Samples/MachineLearningSamples-NoCodeDeploymentTriggeredByEventGrid,0.0,0.0,1.0,721.0,1.0,1.0,1.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/MachineLearningSamples-Notebooks,0.0,0.0,41.0,1465.25,4.0,0.0,4.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/MachineLearningSamples-PredictiveMaintenance,0.15384615384615385,0.16326530612244897,25.612244897959183,1605.469387755102,52.0,1.0,49.0,3.0,Azure,1.8867924528301887,98.11320754716981,94.23076923076923,5.769230769230769
